Country,ISO3 code,Group Technology,elec_prod_GWh,installed_cap_MW,capacity_factor,lambda,Price_USD_GWh,pq,gep
Cyprus,CYP,Solar energy,218.267,151.261,0.16472404784388076,0.560311350408812,191000.0,41688997.0,23358818.20625891
Czechia,CZE,Solar energy,2316.154,2110.669,0.1252688799392569,0.4057337474090561,138000.0,319629252.0,129684374.19551355
Côte d'Ivoire,CIV,Solar energy,5.5,4.206,0.14927576825452654,0.4997880233971285,126000.0,693000.0,346353.10021421005
Democratic People's Republic of Korea (the),PRK,Solar energy,83.807,64.967,0.14725951840811627,0.4918887522785737,,,
Democratic Republic of the Congo (the),COD,Solar energy,12.26,9.578,0.14612062841881748,0.4874268048588647,100000.0,1226000.0,597585.2627569681
Denmark,DNK,Solar energy,963.269,1080.0,0.1018168653813631,0.31385335788346086,242000.0,233111098.0,73162700.86720052
Djibouti,DJI,Solar energy,0.6,0.362,0.18920759857715888,0.6562330961842119,262000.0,157200.0,103159.8427201581
Dominica,DMA,Solar energy,0.178,0.315,0.06450677683554396,0.16767975474323735,368000.0,65504.0,10983.69465470102
Dominican Republic (the),DOM,Solar energy,372.30499999999995,334.8,0.12694316241414488,0.4122932574924577,201000.0,74833304.99999999,30853267.087376617
Ecuador,ECU,Solar energy,37.617,27.63,0.15541723062583354,0.5238490674298059,119000.0,4476423.0,2344970.013971334
Egypt,EGY,Solar energy,1489.0,1647.2,0.10319157901273172,0.31923921604180744,97000.0,144433000.0,46108677.690566376
El Salvador,SLV,Solar energy,576.43,410.412,0.16033281535511903,0.5431073634946443,195000.0,112403849.99999999,61047358.62014747
Equatorial Guinea,GNQ,Solar energy,0.413,0.336,0.14031582952815827,0.46468474225802125,174000.0,71862.0,33393.17494814593
Eritrea,ERI,Solar energy,49.583,25.919,0.2183787884313283,0.7705200918753355,,,
Estonia,EST,Solar energy,73.5,120.6,0.06957223017333425,0.18752520659774521,103000.0,7570500.0,1419659.5765482301
Eswatini,SWZ,Solar energy,0.133,0.14200000000000002,0.10692005916779214,0.33384666940747554,165000.0,21945.0,7326.265160147051
